Name,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4,Weight_5,Weight_6,Weight_7,Weight_8,Weight_9,Weight_10,Weight_11,Weight_12,Weight_13,Weight_14,Weight_15,Weight_16,Weight_17,Weight_18,Weight_19,Weight_20,Weight_21,Weight_22,Weight_23,Weight_24,Weight_25
TClZqkUF89,2.764,-3.958,13.878,-17.668,-13.497,-11.977,-7.517,-17.155,11.149,1.518,8.161,-8.641,-0.684,17.878,0.842,-18.985,16.978,-10.457,-9.707,2.387,18.362,13.632,-4.619,-6.806,-5.905,3.644
jDVIFRxf89,2.764,-8.138,13.878,-17.668,-13.497,-11.977,12.769,-17.155,11.149,-18.274,8.161,17.667,-0.684,17.878,0.842,-18.985,16.978,-10.457,-9.707,15.584,18.362,13.632,-4.619,8.18,6.035,3.644
FzjJIJiC86,-15.849,-5.143,13.878,-17.531,-19.667,-3.522,-5.962,-1.363,-5.687,-12.556,13.339,-18.821,-17.758,-11.099,0.842,6.182,-3.134,11.562,-8.933,-1.616,13.874,-2.121,19.569,-3.893,12.75,19.566
oDUAebyT89,4.792,-12.412,13.878,6.582,-12.597,-11.977,12.769,-15.073,11.149,4.769,6.883,17.667,-14.411,17.878,0.842,-11.028,-15.198,-2.65,0.646,-12.087,-11.974,5.711,18.459,8.18,2.606,-5.808
EJUmLqns84,2.764,-3.958,13.878,-7.994,-12.597,-11.977,12.769,-17.155,11.149,-18.274,8.161,17.667,-0.684,17.878,0.842,-18.985,16.978,-10.457,-9.707,-12.087,18.362,13.632,-4.619,8.18,-5.905,3.644
IKhfqdkV85,3.69,-6.253,-6.486,-11.059,-19.667,3.249,2.976,13.2,7.769,-12.556,8.343,-1.901,-14.694,15.657,0.842,-5.885,6.191,11.562,-16.923,-12.087,13.874,-2.121,9.484,18.771,10.841,2.074
yfEdloOB78,4.792,-5.193,13.878,6.582,-12.597,-11.977,12.769,-15.073,11.149,4.769,6.883,17.667,-0.684,10.197,0.842,-11.651,11.807,10.842,0.646,-12.087,-11.974,5.711,-15.707,8.18,-5.905,5.525
qKhilcEF87,-15.339,-3.958,13.878,-7.994,-12.597,-11.977,12.769,-17.155,11.149,-18.274,8.161,17.667,-0.684,17.878,0.842,-8.411,-10.787,-10.457,-9.707,-4.465,18.362,13.632,-4.619,8.18,-5.905,3.644
aUbzhwSA86,0.565,-3.958,13.878,-17.788,-12.597,10.277,9.447,-17.155,11.149,10.032,9.208,17.667,-0.684,17.878,0.842,-18.985,16.978,-10.948,-9.707,-12.087,18.362,16.617,-19.345,8.18,-5.905,2.84
gQIKrHfw83,3.69,-6.253,-3.54,-11.059,-19.667,-7.436,-5.962,13.2,7.769,-12.556,8.343,-1.901,-14.694,15.657,0.842,-2.827,-9.39,11.562,8.942,-12.087,13.874,-2.121,9.484,18.771,10.841,19.566
